DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-05-12,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,RIBEIRÃO PRETO,WARNER BROS. (SOUTH) INC.,40
2023-03-12,SCREAM VI,PÂNICO VI, Estados Unidos,MG,UBERLÂNDIA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,47
2023-01-07,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,PR,LONDRINA,WARNER BROS. (SOUTH) INC.,40
2023-01-19,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,36
2023-02-13,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,BARRA DO PIRAÍ,WARNER BROS. (SOUTH) INC.,23
2023-04-29,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,CAMPINAS,WARNER BROS. (SOUTH) INC.,81
2023-01-14,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,338
2023-05-16,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,ITAQUAQUECETUBA,WARNER BROS. (SOUTH) INC.,13
2023-05-06,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,LAVRAS,WARNER BROS. (SOUTH) INC.,44
2023-04-11,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,SETE LAGOAS,WARNER BROS. (SOUTH) INC.,74
2023-06-22,TO CATCH A KILLER (MISANTHROPE),SEDE ASSASSINA, Estados Unidos,RS,PORTO ALEGRE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,105
2023-05-09,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,MG,CONTAGEM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,8
2023-06-29,ELEMENTAL,ELEMENTOS, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,76
2023-05-10,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,RIBEIRÃO PRETO,WARNER BROS. (SOUTH) INC.,6
2023-01-21,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,BA,SALVADOR,THE WALT DISNEY COMPANY (BRASIL) LTDA.,212
2023-06-23,ELEMENTAL,ELEMENTOS, Estados Unidos,SP,SÃO JOSÉ DO RIO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,94
2023-05-15,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,MG,BELO HORIZONTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,23
2023-04-18,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,PR,MARINGÁ,WARNER BROS. (SOUTH) INC.,93
2023-06-28,THE FLASH,THE FLASH, Estados Unidos,PR,PATO BRANCO,WARNER BROS. (SOUTH) INC.,4
2023-02-09,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,SP,ARAÇATUBA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,4
2023-01-28,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RS,PORTO ALEGRE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,112
2023-04-09,CLOSE,, Brasil,RJ,VOLTA REDONDA,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,8
2023-02-10,TITANIC,TITANIC 3D, Estados Unidos,BA,SALVADOR,THE WALT DISNEY COMPANY (BRASIL) LTDA.,12
2023-02-20,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,DF,BRASÍLIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,67
2023-05-02,SADAKO DX,O CHAMADO 4: SAMARA RESSURGE, Japão,MT,CUIABÁ,SM DISTRIBUIDORA DE FILMES LTDA,5
2023-02-07,THE AMAZING MAURICE,O GRANDE MAURICINHO," Alemanha, Estados Unidos, Reino Unido",SP,SÃO PAULO,WMIX DISTRIBUIDORA LTDA.,5
