DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-01-13,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,CARATINGA,WARNER BROS. (SOUTH) INC.,36
2023-02-27,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PR,UMUARAMA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-05-09,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,26
2023-04-23,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,234
2023-04-30,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,MG,SÃO JOÃO DEL REI,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,20
2023-02-09,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,MG,BELO HORIZONTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,38
2023-05-11,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,SP,GUARULHOS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,26
2023-01-12,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,BAURU,WARNER BROS. (SOUTH) INC.,199
2023-05-25,CHAMPIONS,CAMPEÕES, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,5
2023-02-15,TITANIC,TITANIC 3D, Estados Unidos,SP,SANTOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,25
2023-01-24,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,RIBEIRÃO PRETO,WARNER BROS. (SOUTH) INC.,46
2023-04-15,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,271
2023-06-06,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,28
2023-04-29,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",ES,CARIACICA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,67
2023-02-20,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,SANTO ANDRÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,196
2023-05-23,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,MG,MURIAÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,6
2023-03-09,EVERYTHING EVERYWHERE ALL AT ONCE,TUDO EM TODO O LUGAR AO MESMO TEMPO, Estados Unidos,RO,PORTO VELHO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,79
2023-01-03,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,MACAÉ,WARNER BROS. (SOUTH) INC.,233
2023-06-25,THE FLASH,THE FLASH, Estados Unidos,MG,POUSO ALEGRE,WARNER BROS. (SOUTH) INC.,141
2023-01-25,BABYLON,BABILÔNIA, Estados Unidos,SP,SUZANO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-04-12,AIR,AIR: A HISTÓRIA POR TRÁS DO LOGO, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,6
2023-04-24,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO BERNARDO DO CAMPO,WARNER BROS. (SOUTH) INC.,159
2023-05-13,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,295
2023-05-06,THE THREE MUSKETEERS: D’ARTAGNAN,OS TRÊS MOSQUETEIROS: D’ARTAGNAN, França,SP,SÃO PAULO,SM DISTRIBUIDORA DE FILMES LTDA,6
2023-02-03,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SC,CRICIÚMA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,38
2023-01-22,"CHEF JACK, O COZINHEIRO AVENTUREIRO",, Brasil,BA,SALVADOR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,13
2023-06-30,THE FLASH,THE FLASH, Estados Unidos,MG,SÃO LOURENÇO,WARNER BROS. (SOUTH) INC.,4
2023-01-07,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,ES,VILA VELHA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,147
2023-01-25,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RS,PELOTAS,WARNER BROS. (SOUTH) INC.,147
2023-06-11,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,BELO HORIZONTE,WARNER BROS. (SOUTH) INC.,57
2023-05-23,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,BA,EUNÁPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18
2023-01-26,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,RJ,MACAÉ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,10
2023-03-04,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,TO,PALMAS,WARNER BROS. (SOUTH) INC.,91
2023-02-02,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,28
2023-02-22,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SE,ARACAJU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,66
2023-04-05,COCAINE BEAR,O URSO DO PÓ BRANCO, Estados Unidos,ES,SERRA,WARNER BROS. (SOUTH) INC.,8
2023-06-19,THE FLASH,THE FLASH, Estados Unidos,SP,OURINHOS,WARNER BROS. (SOUTH) INC.,42
2023-03-11,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PB,CAMPINA GRANDE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,128
2023-05-07,THE THREE MUSKETEERS: D’ARTAGNAN,OS TRÊS MOSQUETEIROS: D’ARTAGNAN, França,BA,SALVADOR,SM DISTRIBUIDORA DE FILMES LTDA,36
2023-06-12,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO JOSÉ DOS CAMPOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,29
2023-01-07,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,50
2023-06-17,THE FLASH,THE FLASH, Estados Unidos,SP,SANTO ANDRÉ,WARNER BROS. (SOUTH) INC.,240
2023-01-07,TERRIFIER 2,TERRIFIER 2, Estados Unidos,PE,PAULISTA,WMIX DISTRIBUIDORA LTDA.,53
2023-05-30,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,HORTOLÂNDIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,92
2023-02-19,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,122
2023-03-26,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,MG,PARACATU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-02-11,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,MA,IMPERATRIZ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,17
2023-06-13,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,CARAGUATATUBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,52
2023-04-15,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,BELO HORIZONTE,WARNER BROS. (SOUTH) INC.,453
2023-04-08,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",PB,JOÃO PESSOA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,19
2023-05-25,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,15
2023-04-14,TÁR,TÁR, Estados Unidos,CE,FORTALEZA,WARNER BROS. (SOUTH) INC.,10
2023-06-22,THE FLASH,THE FLASH, Estados Unidos,MG,BETIM,WARNER BROS. (SOUTH) INC.,7
2023-01-06,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,RIBEIRÃO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,96
2023-06-16,THE FLASH,THE FLASH, Estados Unidos,RS,CRUZ ALTA,WARNER BROS. (SOUTH) INC.,9
2023-06-27,ELEMENTAL,ELEMENTOS, Estados Unidos,SP,SANTO ANDRÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,46
2023-06-30,ELEMENTAL,ELEMENTOS, Estados Unidos,PE,OLINDA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,85
2023-01-30,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,MG,BELO HORIZONTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,41
2023-03-05,MISSING,DESAPARECIDA, Estados Unidos,BA,FEIRA DE SANTANA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,76
2023-04-27,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,PR,CURITIBA,WARNER BROS. (SOUTH) INC.,14
2023-01-07,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RS,CAXIAS DO SUL,WARNER BROS. (SOUTH) INC.,164
2023-03-13,SCREAM VI,PÂNICO VI, Estados Unidos,BA,IRECÊ,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,148
2023-04-03,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,DEMON SLAYER: TO THE SWORDSMITH VILLAGE, Japão,RR,BOA VISTA,CINECOLOR DO BRASIL LTDA,2
2023-03-06,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,MG,ITAJUBÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,4
2023-06-26,THE FLASH,THE FLASH, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,45
2023-06-19,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,PA,SANTARÉM,THE WALT DISNEY COMPANY (BRASIL) LTDA.,34
2023-04-23,SUZUME,SUZUME, Japão,RJ,RIO DE JANEIRO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,34
2023-01-14,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,ITAQUAQUECETUBA,WARNER BROS. (SOUTH) INC.,83
2023-01-18,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,428
2023-01-09,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MT,GUARANTÃ DO NORTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,38
2023-01-10,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MG,CAMBUÍ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,29
2023-03-29,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,CE,FORTALEZA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,10
2023-01-26,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MG,DIVINÓPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,13
2023-01-07,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,PE,CABO DE SANTO AGOSTINHO,WARNER BROS. (SOUTH) INC.,101
2023-04-10,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,BA,SALVADOR,WARNER BROS. (SOUTH) INC.,2
2023-03-18,SCREAM VI,PÂNICO VI, Estados Unidos,MG,ITAÚNA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,25
2023-05-09,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SANTO ANDRÉ,WARNER BROS. (SOUTH) INC.,22
2023-02-28,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,MAUÁ,WARNER BROS. (SOUTH) INC.,70
2023-01-19,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,GO,GOIANÉSIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-06-29,ELEMENTAL,ELEMENTOS, Estados Unidos,BA,AMARGOSA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,15
2023-05-18,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,PR,CURITIBA,WARNER BROS. (SOUTH) INC.,2
2023-04-23,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,AM,MANAUS,WARNER BROS. (SOUTH) INC.,16
2023-01-02,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,PETRÓPOLIS,WARNER BROS. (SOUTH) INC.,58
2023-06-26,THE FLASH,THE FLASH, Estados Unidos,SP,SÃO JOSÉ DOS CAMPOS,WARNER BROS. (SOUTH) INC.,77
2023-05-23,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,14
2023-04-22,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,PIRAJU,WARNER BROS. (SOUTH) INC.,35
2023-03-06,MISSING,DESAPARECIDA, Estados Unidos,SP,SÃO VICENTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,24
2023-06-02,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,JAÚ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,37
2023-05-15,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,16
2023-03-02,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RJ,ITABORAÍ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-05-05,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,77
2023-03-21,A PORTA AO LADO,, Brasil,MG,BELO HORIZONTE,VITRINE FILMES LTDA,5
2023-05-30,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,58
2023-02-11,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RS,PELOTAS,WARNER BROS. (SOUTH) INC.,45
2023-02-01,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,CE,EUSÉBIO,WARNER BROS. (SOUTH) INC.,6
2023-04-13,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,CE,CASCAVEL,WARNER BROS. (SOUTH) INC.,11
2023-04-29,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,ES,VILA VELHA,WARNER BROS. (SOUTH) INC.,22
2023-02-13,TITANIC,TITANIC 3D, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-05-20,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,GO,GOIÂNIA,WARNER BROS. (SOUTH) INC.,119
2023-04-19,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",PR,PARANAGUÁ,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,38
2023-01-22,FERVO,, Brasil,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,4
2023-01-08,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,AL,MACEIÓ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,76
2023-06-09,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,AL,ARAPIRACA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,28
2023-06-12,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,RJ,DUQUE DE CAXIAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,162
2023-02-22,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,GO,LUZIÂNIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18
2023-01-11,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,CE,TIANGUÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,53
2023-02-22,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PA,BELÉM,THE WALT DISNEY COMPANY (BRASIL) LTDA.,92
2023-04-13,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RO,JI-PARANÁ,WARNER BROS. (SOUTH) INC.,25
2023-06-28,ELEMENTAL,ELEMENTOS, Estados Unidos,SP,RIBEIRÃO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,66
2023-02-17,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,CAJAMAR,THE WALT DISNEY COMPANY (BRASIL) LTDA.,1
2023-06-17,THE FLASH,THE FLASH, Estados Unidos,SP,CAMPINAS,WARNER BROS. (SOUTH) INC.,66
2023-06-30,RUBY GILLMAN TEENAGE KRAKEN,RUBY MARINHO - MONSTRO ADOLESCENTE, Estados Unidos,AM,MANAUS,WARNER BROS. (SOUTH) INC.,40
2023-04-26,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,DF,BRASÍLIA,WARNER BROS. (SOUTH) INC.,82
2023-06-22,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,SÃO JOSÉ DO RIO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,31
2023-03-20,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,CE,FORTALEZA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,106
2023-02-24,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,PA,BELÉM,WARNER BROS. (SOUTH) INC.,29
2023-01-27,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,50
2023-01-19,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,ARAPONGAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,16
2023-02-06,KNOCK AT THE CABIN,BATEM À PORTA, Estados Unidos,MG,SETE LAGOAS,WARNER BROS. (SOUTH) INC.,4
2023-04-27,SADAKO DX,O CHAMADO 4: SAMARA RESSURGE, Japão,PE,RECIFE,SM DISTRIBUIDORA DE FILMES LTDA,12
2023-01-23,THE FABELMANS,OS FABELMANS, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,16
2023-04-01,SCREAM VI,PÂNICO VI, Estados Unidos,MG,CONTAGEM,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,102
2023-04-10,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,DEMON SLAYER: TO THE SWORDSMITH VILLAGE, Japão,SP,TAUBATÉ,CINECOLOR DO BRASIL LTDA,19
2023-05-29,ABOUT MY FATHER,MEU PAI É UM PERIGO, Estados Unidos,SC,FLORIANÓPOLIS,SM DISTRIBUIDORA DE FILMES LTDA,2
2023-01-12,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,CARAPICUÍBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,132
2023-02-13,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,ANGRA DOS REIS,WARNER BROS. (SOUTH) INC.,56
2023-06-24,THE FLASH,THE FLASH, Estados Unidos,PR,CAMPO LARGO,WARNER BROS. (SOUTH) INC.,21
2023-01-10,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,NILÓPOLIS,WARNER BROS. (SOUTH) INC.,16
2023-03-05,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,88
2023-01-15,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,LONDRINA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,260
2023-03-27,SCREAM VI,PÂNICO VI, Estados Unidos,PI,TERESINA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,62
2023-04-27,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SC,ITAJAÍ,WARNER BROS. (SOUTH) INC.,13
2023-05-05,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,MA,IMPERATRIZ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,3
2023-04-20,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",MG,BELO HORIZONTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,72
2023-06-09,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,PR,PARANAVAÍ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,34
2023-01-15,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RS,PORTO ALEGRE,WARNER BROS. (SOUTH) INC.,54
2023-05-06,SADAKO DX,O CHAMADO 4: SAMARA RESSURGE, Japão,ES,VILA VELHA,SM DISTRIBUIDORA DE FILMES LTDA,30
2023-05-04,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,AC,RIO BRANCO,WARNER BROS. (SOUTH) INC.,87
2023-02-16,ROCK DOG 3: BATTLE THE BEAT,ROCK DOG: UMA BATIDA ANIMAL, Estados Unidos,SP,MAUÁ,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,3
2023-06-02,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,RJ,RIO DE JANEIRO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,257
2023-04-21,NINGUÉM É DE NINGUÉM,, Brasil,SP,OSASCO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,160
2023-04-16,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,402
2023-06-05,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,ATIBAIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,23
2023-05-30,CHAMPIONS,CAMPEÕES, Estados Unidos,BA,SALVADOR,WARNER BROS. (SOUTH) INC.,2
2023-04-07,COCAINE BEAR,O URSO DO PÓ BRANCO, Estados Unidos,SP,SOROCABA,WARNER BROS. (SOUTH) INC.,3
2023-05-11,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RS,RIO GRANDE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,43
2023-02-13,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,21
2023-03-11,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,CONTAGEM,WARNER BROS. (SOUTH) INC.,15
2023-05-27,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,RJ,RIO DE JANEIRO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,324
2023-06-20,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,ITÁPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,14
2023-03-10,65,65 AMEAÇA PRÉ-HISTÓRICA, Estados Unidos,SP,LIMEIRA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,35
2023-05-31,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,RJ,NILÓPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,22
2023-03-25,SCREAM VI,PÂNICO VI, Estados Unidos,MG,JUIZ DE FORA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,90
